author	title	ids
Wayne Booth	The Rhetoric of Fiction	
Charles S. Singleton, ed.	Interpretation: Theory and Practice	
Anna Letitia Barbauld	Prefaces to The British Novelists	
Anna Letitia Barbauld	The Works of Anna Letitia Barbauld Vol. 2	
M. A. Stodart	Female Writers	loc.ark:/13960/t3tt5w53p
Mary Poovey	The Proper Lady and the Woman Writer	
Leigh Hunt	Imagination and Fancy	loc.ark:/13960/t3jw8zr4z;uva.x000422522;loc.ark:/13960/t7kp9bd8p;loc.ark:/13960/t5p85jp2k;uc2.ark:/13960/t2n58hf01;hvd.hw1wwf;mdp.39015031007753;mdp.39015031007779;uc2.ark:/13960/t2q52t154;hvd.32044090309519
Seymour Chatman	Story and Structure	
[many different authors -- all ok except Ayn Rand	The Art of Fiction	
Tzvetan Todorov	The Poetics of Prose	
Walter Scott	Lives of the Novelists	hvd.hwplu6;hvd.hwplu8;hvd.32044009856469;hvd.32044009856519;mdp.39015016879747;njp.32101074759620;njp.32101074759638;inu.32000011382852;njp.32101073016584
Virginia Woolf (ed. Andrew McNeillie)	The Essays of Virginia Woolf	
Washington Irving	The Sketchbook of Geoffrey Crayon 	
Edgar Allan Poe	The Poetical Works of Edgar Allan Poe Together with his Essay on the Philosophy of Composition	hvd.hn6ihi
Edgar Allan Poe	The Poetical Works of Edgar Allan Poe : with Original Memoir	osu.32435051793131;inu.32000003323641;nyp.33433076035199;uc2.ark:/13960/t1mg7gm1g;miun.abj7652.0001.001
Ralph Waldo Emerson 	Emerson’s Complete Works 	
Henry David Thoreau	The Writings of Henry David Thoreau	uc1.b3546842;uc1.b3546843;uc1.b3546844;uc1.b3546845;uc1.b3546846;uc1.b3546847;uc1.b3546848;uc1.b3546849;uc1.b3546850;uc1.b3546851
Herman Melville	The Apple-Tree Table, and Other Sketches	mdp.39015020698323;uc1.b4107844;uc1.b3579647;nyp.33433076042955;inu.30000114584042
Herman Melville	Pierre	hvd.32044011420494;mdp.39015008422118;mdp.39015064917498;uc1.b4102298;mdp.39015010542762
Margaret Fuller	Woman in the Nineteenth Century	hvd.32044012989893;uc2.ark:/13960/t3st7rd5k;hvd.32044087388906;miun.aed7876.0001.001;inu.30000007218542;uc1.32106010556717;uva.x000378670;hvd.32044009964552;hvd.rsm8qc;uc1.b4452097
Mark Twain	How to tell a story, and other essays	inu.32000007957535;uc1.b3293692;uc2.ark:/13960/t55d8pq6g;mdp.39015012203983;pst.000029579761
Thomas Wentworth Higginson	Atlantic Essays	mdp.39015032991518
Walt Whitman	Complete Prose Works of Walt Whitman	mdp.49015002163567;mdp.49015002163583;mdp.49015002163591;mdp.49015002163609;hvd.32044012710216;hvd.32044014473839;hvd.32044015530413;hvd.32044021138904;hvd.32044021218797;hvd.32044024502809
Amos Bronson Alcott	Table-Talk	uiug.30112004028012;mdp.39015063976719;wu.89079534731
Samuel Taylor Coleridge	Table Talk	mdp.39015065930136;hvd.hwnpd3;pst.000000819695;njp.32101068581378;inu.39000004516766;njp.32101068581386;hvd.32044019805324;hvd.32044019820299;loc.ark:/13960/t8tb2gm5x;osu.32435010869923
F.V.N. Painter 	Elementary Guide to Literary Criticism	hvd.hxczle
William Dean Howells	 My Literary Passions	mdp.39015010202524;mdp.39015045640342;miun.aca9941.0001.001;uc1.b4798390;uc1.b3550174;uc2.ark:/13960/t7np2602q;pst.000008823939
Wiliam Dean Howells	Literary Friends and Acquaintances	
William Dean Howells	Literature and Life: Studies	mdp.39015012988260;nyp.33433074815733;hvd.32044014066872;hvd.32044002105773
La Salle Corbelle Pickett	Literary Hearthstones of Dixie	
George William Curtis	 Literary and Social Essays	uc1.$b154668;uc2.ark:/13960/t6h12wh8j;hvd.32044051089548;mdp.39015041171680;mdp.39015019087868
Joyce Kilmer 	Literature in the Making by Some of Its Makers	mdp.39015030910650;uc2.ark:/13960/t9571bg1h;nyp.33433082502661;hvd.32044080884075
Bliss Perry	The American Spirit in Literature	loc.ark:/13960/t39030n8x;mdp.49015000424243;mdp.39015063861861;uc1.$b250010;uc2.ark:/13960/fk86h4d94h;mdp.39015062283182;mdp.39015030905577;hvd.32044014661805;aeu.ark:/13960/t6h148f22;mdp.39076005536599
Bliss Perry	The American Mind	mdp.39015019780496;nyp.33433074828488;uc1.$b533832;uc2.ark:/13960/t28912t0w;hvd.32044012927133;hvd.hxdne1;nyp.33433074828033;hvd.hxdnec;loc.ark:/13960/t3bz6p68g
Reuben Post Halleck	The History of American Literature	
Henry A. Beers	Initial Studies in American Letters	mdp.39015030912540;uc1.$b29700;loc.ark:/13960/t39z9s901;uc2.ark:/13960/t4jm24m6f;nyp.33433105233385;hvd.hn1c4b;uc2.ark:/13960/t6251gj23;loc.ark:/13960/t9c546w21;nyp.33433116244504;hvd.32044020118048
H. L. Mencken	Book of Prefaces	uc1.32106002046602;uiug.30112068423521;uc1.31175008514138;mdp.39015008293360;mdp.39015019197287;uc2.ark:/13960/t7zk56z5m;mdp.39015013435881;nyp.33433074826540;uc1.$b398969;uc2.ark:/13960/t04x55f23
Brander Matthews	Americanisms and Briticisms	mdp.39015051357500;uc2.ark:/13960/fk9571881c;hvd.hwknp8
Benjamin Brawley	The Negro in Literature and Art	umn.319510023192049;nyp.33433081793121;njp.32101010584496;uc2.ark:/13960/t08w38n1p;mdp.39015000626625;loc.ark:/13960/t9668hx9w;yale.39002001025148;mdp.39015012316488
Suzanne Langer	Feeling and Form	
Toni Morrison	Playing in the Dark	
Germaine Necker de Stael	Essay on Fictions	
Charles Baudelaire	The Painter of Modern Life	
Matthew Arnold	Culture and Anarchy	nyp.33433081929857;uc2.ark:/13960/t9571c43d;uva.x000498898;uva.x000310763;hvd.32044011327319;uiug.30112072007294;uiug.30112073727155;coo.31924014100477;njp.32101074876259;pst.000006729035
Mikhail M. Bakhtin	Discourse in the Novel	
Max Horkheimer and Theodor W. Adorno	Dialectic of Enlightenment	
Roman Jakobson	Linguistics and Poetics	
Frantz Fanon	The Wretched of the Earth	
Gilles Deleuze and Felix Guattari	Kafka: Toward a Minor Literature	
Gilles Deleuze and Felix Guattari	A Thousand Plateaus: Capitalism and Schizophrenia	
Jean Baudrillard	The Precession of Simulacra	
Harold Bloom	The Anxiety of Influence	
Pierre Bourdieu	Distinction	
Jacques Derrida	Of Grammatology	
Barbara Herrnstein Smith	Contingencies of Value	
Fredric Jameson	The Political Unconscious	
Edward Said	Orientalism	
Helene Cixous	The Laugh of the Medusa	
Stanley Fish	Is there a text in this class?	
Jane Tompkins, ed.	Twentieth Century Interpretations of the Turn of the Screw and Other Tales	
Jane Tompkins, ed.	Reader-Response Criticism	
Jane Tompkins	Sensational Designs	
Annette Kolodny	The Lay of the Land	
Annette Kolodny	The Land Before Her	
Julia Kristeva	Desire in Language	
Julia Kristeva	Revolution in Poetic Language	
Gayatri Spivak	A Critique of Postcolonial Reason	
Gloria Anzuldua	Borderlands / La Frontera: the New Mestiza	
Houston Baker	Long Black Songs	
Houston Baker	Modernism and the Harlem Renaissance	
Terry Eagleton	Literary Theory	
Barbara Smith	The Truth that Never Hurts	
Barbara Johnson	The Critical Difference	
Barbara Johnson	The Feminist Difference	
Homi K. Bhabha	The Location of Culture	
Lennard Davis	Factual Fictions	
Lennard Davis	Resisting Novels	
Ian Watt	The Rise of the Novel	
Nancy Armstrong	Desire and Domestic Fiction	
Michael McKeon	The Origins of the English Novel	
Henry Louis Gates, Jr., ed. 	Black Literature and Literary Theory	
Eve Kosofsky Sedgwick	Between Men	
Eve Kosofsky Sedgwick	The Epistemology of the Closet	
Steven Knapp and Walter Benn Michaels	Against Theory	
Bell Hooks	Teaching to Transgress	
Judith Butler	Gender Trouble	
