author	title	ids
Gottfried Leibniz	 Discourse on Metaphysics 	uc1.b3922798;uiuo.ark:/13960/t6251j08n;pst.000010001158;uc1.32106007863548;mdp.39015079725852;uva.x000026923;uva.x000315480;nnc1.cr59903910;ien.35556001414754;uiug.30112047614315
Gottfried Leibniz	 Monadology 	uc2.ark:/13960/t22b8wm27;uc1.$b286235;uc1.b3922798;uiuo.ark:/13960/t6251j08n;mdp.39015011250092;hvd.32044020508875;pst.000010001158;uc1.32106007863548;mdp.39015079725852;uva.x000026923
Sir Francis Bacon	 Novum Organum	
Thomas Aquinas	 Summa contra Gentiles 	mdp.39015063733300;hvd.hn4x2n;hvd.hn4x2p;hvd.hnnqi8
Thomas Aquinas	 Summa Theologiae 	
Hastings Rashdall	 Philosophy and Religion: Six Lectures Delivered at Cambridge	uc1.b4350483;mdp.49015000691908;uc1.$b140399;uc2.ark:/13960/t74t6hr31;loc.ark:/13960/t2m62bf92
Dewitt H. Parker	 The Principles of Aesthetics	
M.V. Couisin	 The True,  The Beautiful and The Good 	
Lewis Carroll	 Symbolic Logic	uc1.b3942532
Lewis Carroll	 The Game of Logic	dul1.ark:/13960/t58d1gf94
William Minto	 Logic Inductive and Deductive	uc1.b4741350;uc1.$b121171;uc2.ark:/13960/t39021t3s;hvd.hn3mrj;hvd.hntk4g;wu.89094312394;loc.ark:/13960/t6ww8777x;mdp.39015059877475;mdp.39015059877467
St. George William Joseph Stock	 Deductive Logic	hvd.hn3mqs
Carveth Read	 Logic: Deductive and Inductive	chi.086529430;hvd.hnuiue;uc1.$b47570;uc2.ark:/13960/t4hm54p5p
David Starr Jordan	 The Philosophy of Despair	uc1.$b274639;nyp.33433087770073;uc2.ark:/13960/t4nk37f3z;hvd.hnur63;uc1.l0068809417
Surendranath Dasgupta	 A History of Indian Philosophy	
Kaiten Nukariya	 The Religion of the Samurai: A Study of Zen Philosophy and Discipline in China and Japan	yale.39002013482048;hvd.32044013673850
Roscoe Pound	 An Introduction to the Philosophy of Law	mdp.39015058807697;hvd.32044019341445;hvd.32044031673882
S.M. Dubnow	 Jewish History: an essay in the philosophy of history	hvd.hngesf
G.E. Partridge	 The Psychology of Nations: A Contribution to the Philosophy of History	mdp.39015063021854;uc1.$b284467;uc2.ark:/13960/t2697bf4v;loc.ark:/13960/t46q2g378;hvd.32044026019406
